# Calendrier des fêtes : une ligne par fête et par année lunaire.
#
# Écrit par `uv run wenlu fetes calendrier` : ne pas éditer à la main.
# Source : calendrier luni-solaire chinois (农历), dates calculées hors ligne
# par la bibliothèque lunar_python 1.4.8 (MIT, https://github.com/6tail/lunar-python).
# Contrôlées par les tests contre des dates connues, dont pour 2026 : 春节 02-17,
# 元宵 03-03, 清明 04-05, 端午 06-19, 七夕 08-19, 中秋 09-25, 重阳 10-18, 冬至 12-22.
# 清明 et 冬至 sont des termes solaires (节气), comptés au jour de Pékin (UTC+8).
#
# `avant` et `apres` : jours de fête avant et après la date. 春节 va du réveillon
# 除夕 (−1) au 14e jour (+13) et 元宵 prend le 15e (0, 0) ; 清明 −1 à +1 ;
# 端午 −2 à +1 ; 七夕 −2 à 0 ; 中秋 −3 à +1 ; 重阳 −1 à +1 ; 冬至 −1 à +1.
# `annee_lunaire` : l'année lunaire qui porte la fête ; `animal`, son animal
# (voir `animaux.tsv`, rang = (année − 4) mod 12).
#
fete	date	avant	apres	annee_lunaire	animal	source
chunjie	2026-02-17	1	13	2026	马	lunar_python 1.4.8, Lunar.fromYmd(2026, 1, 1)
yuanxiao	2026-03-03	0	0	2026	马	lunar_python 1.4.8, Lunar.fromYmd(2026, 1, 15)
qingming	2026-04-05	1	1	2026	马	lunar_python 1.4.8, Solar.fromYmd(2026, 4, 1).getLunar().getNextJieQi() → 清明
duanwu	2026-06-19	2	1	2026	马	lunar_python 1.4.8, Lunar.fromYmd(2026, 5, 5)
qixi	2026-08-19	2	0	2026	马	lunar_python 1.4.8, Lunar.fromYmd(2026, 7, 7)
zhongqiu	2026-09-25	3	1	2026	马	lunar_python 1.4.8, Lunar.fromYmd(2026, 8, 15)
chongyang	2026-10-18	1	1	2026	马	lunar_python 1.4.8, Lunar.fromYmd(2026, 9, 9)
dongzhi	2026-12-22	1	1	2026	马	lunar_python 1.4.8, Solar.fromYmd(2026, 12, 1).getLunar().getNextJieQi() → 冬至
chunjie	2027-02-06	1	13	2027	羊	lunar_python 1.4.8, Lunar.fromYmd(2027, 1, 1)
yuanxiao	2027-02-20	0	0	2027	羊	lunar_python 1.4.8, Lunar.fromYmd(2027, 1, 15)
qingming	2027-04-05	1	1	2027	羊	lunar_python 1.4.8, Solar.fromYmd(2027, 4, 1).getLunar().getNextJieQi() → 清明
duanwu	2027-06-09	2	1	2027	羊	lunar_python 1.4.8, Lunar.fromYmd(2027, 5, 5)
qixi	2027-08-08	2	0	2027	羊	lunar_python 1.4.8, Lunar.fromYmd(2027, 7, 7)
zhongqiu	2027-09-15	3	1	2027	羊	lunar_python 1.4.8, Lunar.fromYmd(2027, 8, 15)
chongyang	2027-10-08	1	1	2027	羊	lunar_python 1.4.8, Lunar.fromYmd(2027, 9, 9)
dongzhi	2027-12-22	1	1	2027	羊	lunar_python 1.4.8, Solar.fromYmd(2027, 12, 1).getLunar().getNextJieQi() → 冬至
chunjie	2028-01-26	1	13	2028	猴	lunar_python 1.4.8, Lunar.fromYmd(2028, 1, 1)
yuanxiao	2028-02-09	0	0	2028	猴	lunar_python 1.4.8, Lunar.fromYmd(2028, 1, 15)
qingming	2028-04-04	1	1	2028	猴	lunar_python 1.4.8, Solar.fromYmd(2028, 4, 1).getLunar().getNextJieQi() → 清明
duanwu	2028-05-28	2	1	2028	猴	lunar_python 1.4.8, Lunar.fromYmd(2028, 5, 5)
qixi	2028-08-26	2	0	2028	猴	lunar_python 1.4.8, Lunar.fromYmd(2028, 7, 7)
