# Les vingt-quatre termes solaires (二十四节气) : une ligne par terme.
#
# Écrit par `uv run wenlu saisons calendrier` : ne pas éditer à la main.
# Source : instants des termes calculés hors ligne par la bibliothèque
# lunar_python 1.4.8 (MIT, https://github.com/6tail/lunar-python), à l'heure
# de Pékin (UTC+8), comme le calendrier chinois les compte. Contrôlés par les tests
# contre des dates connues : 秋分 2026-09-23, 冬至 2026-12-22, 立春 2027-02-04.
#
# `debut` : le jour où le terme commence ; `heure` : l'instant exact, à Pékin ;
# `fin` : le jour où commence le terme suivant. Un terme court de `debut` à la veille
# de `fin`. La première ligne est le 冬至 de 2025, qui couvre les premiers jours de
# 2026 : chaque jour de 2026 à 2035 a son terme.
#
terme	nom	debut	heure	fin	source
dongzhi	冬至	2025-12-21	23:03:05	2026-01-05	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaohan	小寒	2026-01-05	16:23:10	2026-01-20	lunar_python 1.4.8, Lunar.getNextJieQi()
dahan	大寒	2026-01-20	09:44:56	2026-02-04	lunar_python 1.4.8, Lunar.getNextJieQi()
lichun	立春	2026-02-04	04:02:08	2026-02-18	lunar_python 1.4.8, Lunar.getNextJieQi()
yushui	雨水	2026-02-18	23:51:56	2026-03-05	lunar_python 1.4.8, Lunar.getNextJieQi()
jingzhe	惊蛰	2026-03-05	21:59:00	2026-03-20	lunar_python 1.4.8, Lunar.getNextJieQi()
chunfen	春分	2026-03-20	22:45:59	2026-04-05	lunar_python 1.4.8, Lunar.getNextJieQi()
qingming	清明	2026-04-05	02:40:00	2026-04-20	lunar_python 1.4.8, Lunar.getNextJieQi()
guyu	谷雨	2026-04-20	09:39:08	2026-05-05	lunar_python 1.4.8, Lunar.getNextJieQi()
lixia	立夏	2026-05-05	19:48:44	2026-05-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoman	小满	2026-05-21	08:36:45	2026-06-05	lunar_python 1.4.8, Lunar.getNextJieQi()
mangzhong	芒种	2026-06-05	23:48:21	2026-06-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiazhi	夏至	2026-06-21	16:24:30	2026-07-07	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoshu	小暑	2026-07-07	09:56:57	2026-07-23	lunar_python 1.4.8, Lunar.getNextJieQi()
dashu	大暑	2026-07-23	03:13:05	2026-08-07	lunar_python 1.4.8, Lunar.getNextJieQi()
liqiu	立秋	2026-08-07	19:42:43	2026-08-23	lunar_python 1.4.8, Lunar.getNextJieQi()
chushu	处暑	2026-08-23	10:18:49	2026-09-07	lunar_python 1.4.8, Lunar.getNextJieQi()
bailu	白露	2026-09-07	22:41:16	2026-09-23	lunar_python 1.4.8, Lunar.getNextJieQi()
qiufen	秋分	2026-09-23	08:05:14	2026-10-08	lunar_python 1.4.8, Lunar.getNextJieQi()
hanlu	寒露	2026-10-08	14:29:17	2026-10-23	lunar_python 1.4.8, Lunar.getNextJieQi()
shuangjiang	霜降	2026-10-23	17:37:57	2026-11-07	lunar_python 1.4.8, Lunar.getNextJieQi()
lidong	立冬	2026-11-07	17:52:05	2026-11-22	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoxue	小雪	2026-11-22	15:23:21	2026-12-07	lunar_python 1.4.8, Lunar.getNextJieQi()
daxue	大雪	2026-12-07	10:52:32	2026-12-22	lunar_python 1.4.8, Lunar.getNextJieQi()
dongzhi	冬至	2026-12-22	04:50:14	2027-01-05	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaohan	小寒	2027-01-05	22:09:58	2027-01-20	lunar_python 1.4.8, Lunar.getNextJieQi()
dahan	大寒	2027-01-20	15:29:50	2027-02-04	lunar_python 1.4.8, Lunar.getNextJieQi()
lichun	立春	2027-02-04	09:46:18	2027-02-19	lunar_python 1.4.8, Lunar.getNextJieQi()
yushui	雨水	2027-02-19	05:33:29	2027-03-06	lunar_python 1.4.8, Lunar.getNextJieQi()
jingzhe	惊蛰	2027-03-06	03:39:33	2027-03-21	lunar_python 1.4.8, Lunar.getNextJieQi()
chunfen	春分	2027-03-21	04:24:42	2027-04-05	lunar_python 1.4.8, Lunar.getNextJieQi()
qingming	清明	2027-04-05	08:17:31	2027-04-20	lunar_python 1.4.8, Lunar.getNextJieQi()
guyu	谷雨	2027-04-20	15:17:38	2027-05-06	lunar_python 1.4.8, Lunar.getNextJieQi()
lixia	立夏	2027-05-06	01:25:12	2027-05-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoman	小满	2027-05-21	14:18:14	2027-06-06	lunar_python 1.4.8, Lunar.getNextJieQi()
mangzhong	芒种	2027-06-06	05:25:48	2027-06-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiazhi	夏至	2027-06-21	22:10:50	2027-07-07	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoshu	小暑	2027-07-07	15:37:03	2027-07-23	lunar_python 1.4.8, Lunar.getNextJieQi()
dashu	大暑	2027-07-23	09:04:39	2027-08-08	lunar_python 1.4.8, Lunar.getNextJieQi()
liqiu	立秋	2027-08-08	01:26:46	2027-08-23	lunar_python 1.4.8, Lunar.getNextJieQi()
chushu	处暑	2027-08-23	16:14:19	2027-09-08	lunar_python 1.4.8, Lunar.getNextJieQi()
bailu	白露	2027-09-08	04:28:28	2027-09-23	lunar_python 1.4.8, Lunar.getNextJieQi()
qiufen	秋分	2027-09-23	14:01:43	2027-10-08	lunar_python 1.4.8, Lunar.getNextJieQi()
hanlu	寒露	2027-10-08	20:17:06	2027-10-23	lunar_python 1.4.8, Lunar.getNextJieQi()
shuangjiang	霜降	2027-10-23	23:32:52	2027-11-07	lunar_python 1.4.8, Lunar.getNextJieQi()
lidong	立冬	2027-11-07	23:38:35	2027-11-22	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoxue	小雪	2027-11-22	21:16:14	2027-12-07	lunar_python 1.4.8, Lunar.getNextJieQi()
daxue	大雪	2027-12-07	16:37:41	2027-12-22	lunar_python 1.4.8, Lunar.getNextJieQi()
dongzhi	冬至	2027-12-22	10:42:10	2028-01-06	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaohan	小寒	2028-01-06	03:54:39	2028-01-20	lunar_python 1.4.8, Lunar.getNextJieQi()
dahan	大寒	2028-01-20	21:21:57	2028-02-04	lunar_python 1.4.8, Lunar.getNextJieQi()
lichun	立春	2028-02-04	15:31:13	2028-02-19	lunar_python 1.4.8, Lunar.getNextJieQi()
yushui	雨水	2028-02-19	11:26:02	2028-03-05	lunar_python 1.4.8, Lunar.getNextJieQi()
jingzhe	惊蛰	2028-03-05	09:24:47	2028-03-20	lunar_python 1.4.8, Lunar.getNextJieQi()
chunfen	春分	2028-03-20	10:17:10	2028-04-04	lunar_python 1.4.8, Lunar.getNextJieQi()
qingming	清明	2028-04-04	14:03:06	2028-04-19	lunar_python 1.4.8, Lunar.getNextJieQi()
guyu	谷雨	2028-04-19	21:09:31	2028-05-05	lunar_python 1.4.8, Lunar.getNextJieQi()
lixia	立夏	2028-05-05	07:12:12	2028-05-20	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoman	小满	2028-05-20	20:09:49	2028-06-05	lunar_python 1.4.8, Lunar.getNextJieQi()
mangzhong	芒种	2028-06-05	11:16:00	2028-06-21	lunar_python 1.4.8, Lunar.getNextJieQi()
